COUNTRY,Exclusivity ban,Operator Authorization,Financial Inclusion,Information and Transparency,SOURCES
Albania,NO,NO,National Action Plan on Remittances: Strengthen the capacity of Albanian Post to provide expanded remittance-transfer services (2008),"Enhance migrant’s knowledge of (and access to) remittance transfer
options, savings and investment opportunities at the time of departure
abroad, in their host countries and upon return (2007)","IOM (2017). Migration Policy, Research and Legislation. Retrieved from https://albania.iom.int/migration-policy-research-and-legislation on July 23, 2020. IOM (2007). Towards enhancing the impact of
remittances in Albania: National
Action Plan on Remittances. Retrieved from https://www.cirab.univpm.it/sites/www.cirab.univpm.it/files/cirab/docs/National_Action_Plan_Remittances_Albania.pdf on July 23, 2020. "
Angola,NO,NO,NO,NO,
Argentina,NO,"New regulation allowing Money Transfer Operators (MTOs) access to the FX market for transfers abroad without limits on the amount transferred (2015)
",No,The Central Bank of Argentina’s regulation on the protection of users of financial services provides that customers must be made aware of all related conditions and costs prior to the completion of any operation or acquisition of product or service. Banks are also required to publish current prices of all the services they provide (2015),"GMFD (2018). National Remittance Plan (Argentina). Retrieved from https://www.gfmd.org/pfp/ppd/10338 on August 5, 2020. "
Bangladesh,NO,Banks and mobile operators allowed to distribute remittances (2011),Digitalizing migrant worker's remittances (GMFD). ,"For pre- departure orientation, the Bangladesh government has, with an international partner, introduced destination-specific, pocket-size handbooks containing key information about the law, culture, language, emergency contacts, remittance transfer method etc. of the destination country. (2007)","Ali, A. M. (2005). PRE-DEPARTURE ORIENTATION PROGRAMME: STUDY OF GOOD PRACTICES IN ASIA A COMPARATIVE STUDY OF BANGLADESH, THE PHILIPPINES AND SRI LANKA. Labour Migration, 85. https://pdfs.semanticscholar.org/9dcc/2d97ef2790c25be49682021ee746ee20954c.pdf?_ga=2.110650565.1343127934.1596639322-732636437.1596639322
GMFD (2019). Background Paper RT 3.2 ""Harnessing migration for rural development"". Retrived from https://www.gfmd.org/pfp/ppd/11275 on July 15, 2020. "
Benin,NO,NO,African Postal Financial Services Initiative (2013),NO,"IFAD (2018). The African Postal Financial Services Initiative:
A success story on remittances at the post office in Africa. Retrieved from https://www.ifad.org/documents/38714170/40323132/APFSIReport_e_W_180523.pdf/f005af20-6726-4b8c-8bb1-4e4028057cf3 on June 18, 2020. "
Botswana,NO,"A variety of distribution networks are in place for the delivery of remittance services in Botswana. Distribution channels are distinguished as traditional and non-traditional distribution channels. The
former includes formal banking infrastructure such as branches, ATMs and POS, while the latter includes transacting through the Post office, mobile money (by MNOs) and retailers (Finmark).","The objective of financial inclusion has been included as part of financial sector development objectives in previous
national development plans (NDPs) (CENFRI). ",NO,"CENFRI (2015). Botswana: Financial Inclusion Country Report. Retrieved from http://finmark.org.za/wp-content/uploads/2019/07/Botswana_Diagnostic_May-2016.pdf on July 2, 2020. 
Finmark (2018). Understanding remittances from Botsawana to Zimbabwe. Retrieved from http://finmark.org.za/wp-content/uploads/2019/02/Understanding-remittances-from-Botswana-to-Zimbabwe_July2018.pdf on July 2, 2020."
Burkina Faso ,"Mobile money companies cannot require distributors to
operate on an exclusive basis, but nevertheless have a preference for exclusive distributors. (Finmark)","Banks and MFIs are licensed to provide payments services to the public. Money transfer operators must partner with a bank
and use their licence. Mobile money services in WAEMU can be provided by banks or non-banks, and in Burkina
Faso, there is one example of each. (Finmark)",NO,Remittances service providers must disclore their transaction costs (Finmark),"Finmark (2017). Burkina Faso: Making Access Possible. Financial Diagnostic. Retrieved from http://finmark.org.za/wp-content/uploads/2019/04/Burkina_Faso_Diagnostic-Report-English.pdf on July 2, 2020. "
Burundi,NO,NO,African Postal Financial Services Initiative (2013),NO,"IFAD (2018). The African Postal Financial Services Initiative:
A success story on remittances at the post office in Africa. Retrieved from https://www.ifad.org/documents/38714170/40323132/APFSIReport_e_W_180523.pdf/f005af20-6726-4b8c-8bb1-4e4028057cf3 on June 18, 2020. "
Cameroon,NO,NO,NO,NO,
Cape Verde,NO,YES,NO,NO,"ACPEU (2016). Study on the dynamics of remittances sent by Cabo-Verdean Immigrants. Retrieved from https://acpeumigrationaction.iom.int/sites/default/files/Fiches/cabo_verde.pdf on June 28, 2020."
